加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化wide_cnn模型...
模型參數數量: 21,335,972
開始訓練 wide_cnn 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [00:39<01:20,  8.39it/s, loss=3.4675, acc=5.39%, time=0.034s]
 批次 550/990 | 損失: 3.0628 | 準確率: 0.1753 | 批次時間: 0.034秒
 批次 560/990 | 損失: 3.0609 | 準確率: 0.1759 | 批次時間: 0.034秒
 批次 570/990 | 損失: 3.0586 | 準確率: 0.1764 | 批次時間: 0.034秒
 批次 580/990 | 損失: 3.0574 | 準確率: 0.1767 | 批次時間: 0.034秒
 批次 590/990 | 損失: 3.0566 | 準確率: 0.1768 | 批次時間: 0.034秒
 批次 600/990 | 損失: 3.0553 | 準確率: 0.1768 | 批次時間: 0.034秒
 批次 610/990 | 損失: 3.0531 | 準確率: 0.1775 | 批次時間: 0.034秒
 批次 620/990 | 損失: 3.0523 | 準確率: 0.1777 | 批次時間: 0.102秒
 批次 630/990 | 損失: 3.0520 | 準確率: 0.1779 | 批次時間: 0.034秒
 批次 640/990 | 損失: 3.0492 | 準確率: 0.1787 | 批次時間: 0.034秒
 批次 650/990 | 損失: 3.0469 | 準確率: 0.1791 | 批次時間: 0.034秒
 批次 660/990 | 損失: 3.0467 | 準確率: 0.1793 | 批次時間: 0.034秒
 批次 670/990 | 損失: 3.0447 | 準確率: 0.1798 | 批次時間: 0.034秒
 批次 680/990 | 損失: 3.0432 | 準確率: 0.1801 | 批次時間: 0.034秒
