開始訓練程序
開始訓練過程...
使用設備: cuda
配置數據轉換...
加載訓練集和驗證集...
訓練集大小: 63325個樣本
驗證集大小: 450個樣本
創建數據加載器...
訓練批次數: 990
驗證批次數: 8
初始化模型...
模型初始化完成
開始訓練循環...

==================================================
Epoch 1/20 開始
訓練階段:
  批次 860/990 | 損失: 2.6478 | 準確率: 26.96% | 處理時間: 0.22秒
  批次 870/990 | 損失: 2.2273 | 準確率: 27.04% | 處理時間: 0.22秒
  批次 880/990 | 損失: 1.9629 | 準確率: 27.11% | 處理時間: 0.23秒
  批次 890/990 | 損失: 2.3239 | 準確率: 27.14% | 處理時間: 0.22秒
  批次 900/990 | 損失: 2.0583 | 準確率: 27.20% | 處理時間: 0.26秒
  批次 910/990 | 損失: 2.7011 | 準確率: 27.24% | 處理時間: 0.22秒
  批次 920/990 | 損失: 2.3679 | 準確率: 27.28% | 處理時間: 0.22秒
  批次 930/990 | 損失: 2.1823 | 準確率: 27.36% | 處理時間: 0.22秒
  批次 940/990 | 損失: 2.2454 | 準確率: 27.45% | 處理時間: 0.22秒
  批次 950/990 | 損失: 2.2805 | 準確率: 27.50% | 處理時間: 0.22秒
  批次 960/990 | 損失: 2.4608 | 準確率: 27.55% | 處理時間: 0.21秒
  批次 970/990 | 損失: 2.6282 | 準確率: 27.61% | 處理時間: 0.22秒
  批次 980/990 | 損失: 2.0567 | 準確率: 27.65% | 處理時間: 0.22秒
  批次 990/990 | 損失: 2.7105 | 準確率: 27.71% | 處理時間: 0.12秒
訓練階段完成 | 平均損失: 2.5398 | 準確率: 27.71% | 耗時: 354.39秒

驗證階段:
  驗證批次 8/8 處理完成
驗證階段完成 | 平均損失: 2.3213 | 準確率: 32.67% | 耗時: 1.41秒
發現更好的模型! 保存檢查點...
模型保存完成
Epoch 2 完成 | 總耗時: 355.94秒
當前最佳驗證準確率: 32.67%

==================================================
Epoch 3/20 開始
訓練階段:
  批次 10/990 | 損失: 2.4934 | 準確率: 38.44% | 處理時間: 0.22秒
  批次 20/990 | 損失: 2.3150 | 準確率: 36.41% | 處理時間: 0.22秒
  批次 30/990 | 損失: 2.2413 | 準確率: 35.42% | 處理時間: 0.22秒
  批次 40/990 | 損失: 2.1356 | 準確率: 35.16% | 處理時間: 0.23秒
  批次 50/990 | 損失: 2.2906 | 準確率: 35.19% | 處理時間: 0.26秒
  批次 60/990 | 損失: 2.1628 | 準確率: 35.52% | 處理時間: 0.22秒
  批次 70/990 | 損失: 2.1484 | 準確率: 34.96% | 處理時間: 0.23秒
  批次 80/990 | 損失: 1.9518 | 準確率: 35.35% | 處理時間: 0.22秒
  批次 90/990 | 損失: 2.2017 | 準確率: 35.14% | 處理時間: 0.23秒
  批次 100/990 | 損失: 2.1968 | 準確率: 35.22% | 處理時間: 0.26秒
  批次 110/990 | 損失: 2.2705 | 準確率: 35.21% | 處理時間: 0.23秒
  批次 120/990 | 損失: 2.2485 | 準確率: 35.17% | 處理時間: 0.22秒
  批次 130/990 | 損失: 1.9904 | 準確率: 35.25% | 處理時間: 0.22秒
  批次 140/990 | 損失: 2.2184 | 準確率: 35.09% | 處理時間: 0.22秒
  批次 150/990 | 損失: 2.1034 | 準確率: 35.19% | 處理時間: 0.24秒
  批次 160/990 | 損失: 1.9445 | 準確率: 35.07% | 處理時間: 0.22秒
  批次 170/990 | 損失: 2.5864 | 準確率: 34.96% | 處理時間: 0.22秒
  批次 180/990 | 損失: 2.3455 | 準確率: 35.10% | 處理時間: 0.22秒
  批次 190/990 | 損失: 2.2897 | 準確率: 35.15% | 處理時間: 0.26秒
  批次 200/990 | 損失: 2.0683 | 準確率: 35.07% | 處理時間: 0.23秒
  批次 210/990 | 損失: 2.1568 | 準確率: 34.95% | 處理時間: 0.22秒
  批次 220/990 | 損失: 2.3724 | 準確率: 35.07% | 處理時間: 0.22秒
  批次 230/990 | 損失: 2.1465 | 準確率: 35.12% | 處理時間: 0.22秒
  批次 240/990 | 損失: 2.0637 | 準確率: 35.18% | 處理時間: 0.26秒
  批次 250/990 | 損失: 2.0898 | 準確率: 35.24% | 處理時間: 0.22秒
  批次 260/990 | 損失: 1.9145 | 準確率: 35.19% | 處理時間: 0.23秒
  批次 270/990 | 損失: 1.7423 | 準確率: 35.22% | 處理時間: 0.23秒
  批次 280/990 | 損失: 2.0981 | 準確率: 35.26% | 處理時間: 0.22秒
  批次 290/990 | 損失: 2.2428 | 準確率: 35.32% | 處理時間: 0.22秒
  批次 300/990 | 損失: 2.1295 | 準確率: 35.28% | 處理時間: 0.22秒
  批次 310/990 | 損失: 2.3500 | 準確率: 35.29% | 處理時間: 0.23秒
  批次 320/990 | 損失: 2.1153 | 準確率: 35.36% | 處理時間: 0.22秒
