加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化dynamic_conv模型...
模型參數數量: 1,536,356
開始訓練 dynamic_conv 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:05<06:30,  1.72it/s, loss=3.6956, acc=4.00%, time=0.485s]
 批次 900/990 | 損失: 3.4674 | 準確率: 0.1114 | 批次時間: 0.572秒
 批次 910/990 | 損失: 3.4661 | 準確率: 0.1118 | 批次時間: 0.538秒
 批次 920/990 | 損失: 3.4640 | 準確率: 0.1123 | 批次時間: 0.489秒
 批次 930/990 | 損失: 3.4630 | 準確率: 0.1128 | 批次時間: 0.488秒
 批次 940/990 | 損失: 3.4615 | 準確率: 0.1129 | 批次時間: 0.488秒
 批次 950/990 | 損失: 3.4600 | 準確率: 0.1132 | 批次時間: 0.574秒
 批次 960/990 | 損失: 3.4580 | 準確率: 0.1134 | 批次時間: 0.474秒
 批次 970/990 | 損失: 3.4563 | 準確率: 0.1138 | 批次時間: 0.489秒
 批次 980/990 | 損失: 3.4558 | 準確率: 0.1139 | 批次時間: 0.487秒
 批次 990/990 | 損失: 3.4546 | 準確率: 0.1141 | 批次時間: 0.131秒
訓練階段完成 | 平均損失: 3.4546 | 準確率: 0.1141 | 平均批次時間: 0.502秒 | 總時間: 569.12秒

驗證階段:
驗證 Epoch 2/20: 100%|████████████████████████| 8/8 [00:01<00:00,  4.93it/s, loss=2.7359, acc=14.89%]
 驗證批次 8/8 | 當前準確率: 0.1489
驗證階段完成 | 平均損失: 3.2161 | 準確率: 0.1489 | 耗時: 1.62秒
發現更好的模型! 保存到 checkpoints/dynamic_conv_best.pth
新的最佳驗證準確率: 0.1489
Epoch 2/20 完成 | 總耗時: 570.75秒 | 當前最佳準確率: 0.1489

============================================================
Epoch 3/20 開始
訓練階段:
訓練 Epoch 3/20:  32%|██▎    | 319/990 [03:03<06:26,  1.74it/s, loss=3.4131, acc=14.19%, time=0.553s]
 批次 10/990 | 損失: 3.3415 | 準確率: 0.1078 | 批次時間: 0.485秒
 批次 20/990 | 損失: 3.3225 | 準確率: 0.1258 | 批次時間: 0.664秒
 批次 30/990 | 損失: 3.3562 | 準確率: 0.1245 | 批次時間: 0.485秒
 批次 40/990 | 損失: 3.3441 | 準確率: 0.1266 | 批次時間: 0.483秒
 批次 50/990 | 損失: 3.3415 | 準確率: 0.1281 | 批次時間: 0.483秒
 批次 60/990 | 損失: 3.3444 | 準確率: 0.1320 | 批次時間: 0.487秒
 批次 70/990 | 損失: 3.3452 | 準確率: 0.1326 | 批次時間: 0.572秒
 批次 80/990 | 損失: 3.3436 | 準確率: 0.1330 | 批次時間: 0.475秒
 批次 90/990 | 損失: 3.3410 | 準確率: 0.1345 | 批次時間: 0.475秒
 批次 100/990 | 損失: 3.3332 | 準確率: 0.1339 | 批次時間: 0.488秒
 批次 110/990 | 損失: 3.3247 | 準確率: 0.1368 | 批次時間: 0.470秒
 批次 120/990 | 損失: 3.3213 | 準確率: 0.1378 | 批次時間: 0.663秒
 批次 130/990 | 損失: 3.3261 | 準確率: 0.1369 | 批次時間: 0.487秒
 批次 140/990 | 損失: 3.3241 | 準確率: 0.1382 | 批次時間: 0.489秒
 批次 150/990 | 損失: 3.3215 | 準確率: 0.1399 | 批次時間: 0.487秒
 批次 160/990 | 損失: 3.3144 | 準確率: 0.1416 | 批次時間: 0.478秒
 批次 170/990 | 損失: 3.3161 | 準確率: 0.1413 | 批次時間: 0.573秒
 批次 180/990 | 損失: 3.3202 | 準確率: 0.1403 | 批次時間: 0.573秒
