加載數據集...
訓練集: 63325個樣本
驗證集: 450個樣本
初始化WideCNN模型...
模型參數數量: 1,536,356
開始訓練 WideCNN 模型...
訓練設備: cuda
訓練集大小: 63325 樣本
驗證集大小: 450 樣本
批次大小: 64
總訓練批次數: 990
總驗證批次數: 8
總訓練輪數: 20

============================================================
Epoch 1/20 開始
訓練階段:
訓練 Epoch 1/20:  32%|██▌     | 319/990 [03:01<06:19,  1.77it/s, loss=3.7163, acc=4.14%, time=0.574s]
  批次 850/990 | 損失: 3.4676 | 準確率: 0.1122 | 批次時間: 0.483秒
  批次 860/990 | 損失: 3.4659 | 準確率: 0.1125 | 批次時間: 0.516秒
  批次 870/990 | 損失: 3.4651 | 準確率: 0.1127 | 批次時間: 0.473秒
  批次 880/990 | 損失: 3.4642 | 準確率: 0.1129 | 批次時間: 0.479秒
  批次 890/990 | 損失: 3.4625 | 準確率: 0.1133 | 批次時間: 0.574秒
  批次 900/990 | 損失: 3.4615 | 準確率: 0.1136 | 批次時間: 0.476秒
  批次 910/990 | 損失: 3.4600 | 準確率: 0.1139 | 批次時間: 0.542秒
  批次 920/990 | 損失: 3.4584 | 準確率: 0.1142 | 批次時間: 0.483秒
  批次 930/990 | 損失: 3.4567 | 準確率: 0.1144 | 批次時間: 0.486秒
  批次 940/990 | 損失: 3.4554 | 準確率: 0.1146 | 批次時間: 0.486秒
  批次 950/990 | 損失: 3.4546 | 準確率: 0.1148 | 批次時間: 0.484秒
  批次 960/990 | 損失: 3.4537 | 準確率: 0.1151 | 批次時間: 0.484秒
  批次 970/990 | 損失: 3.4521 | 準確率: 0.1152 | 批次時間: 0.473秒
  批次 980/990 | 損失: 3.4508 | 準確率: 0.1155 | 批次時間: 0.479秒
  批次 990/990 | 損失: 3.4491 | 準確率: 0.1157 | 批次時間: 0.141秒
訓練階段完成 | 平均損失: 3.4491 | 準確率: 0.1157 | 平均批次時間: 0.494秒 | 總時間: 560.50秒

驗證階段:
驗證 Epoch 2/20: 100%|████████████████████████| 8/8 [00:01<00:00,  4.99it/s, loss=2.2132, acc=11.33%]
  驗證批次 8/8 | 當前準確率: 0.1133
驗證階段完成 | 平均損失: 3.2516 | 準確率: 0.1133 | 耗時: 1.60秒
發現更好的模型! 保存到 checkpoints/wide_cnn_best.pth
新的最佳驗證準確率: 0.1133
Epoch 2/20 完成 | 總耗時: 562.11秒 | 當前最佳準確率: 0.1133

============================================================
Epoch 3/20 開始
訓練階段:
訓練 Epoch 3/20:  32%|██▎    | 319/990 [03:01<06:12,  1.80it/s, loss=3.2338, acc=14.68%, time=0.543s]
  批次 10/990 | 損失: 3.3775 | 準確率: 0.1297 | 批次時間: 0.475秒
  批次 20/990 | 損失: 3.3644 | 準確率: 0.1258 | 批次時間: 0.539秒
  批次 30/990 | 損失: 3.3517 | 準確率: 0.1224 | 批次時間: 0.482秒
  批次 40/990 | 損失: 3.3567 | 準確率: 0.1242 | 批次時間: 0.481秒
  批次 50/990 | 損失: 3.3395 | 準確率: 0.1313 | 批次時間: 0.573秒
  批次 60/990 | 損失: 3.3319 | 準確率: 0.1344 | 批次時間: 0.487秒
  批次 70/990 | 損失: 3.3288 | 準確率: 0.1350 | 批次時間: 0.486秒
  批次 80/990 | 損失: 3.3318 | 準確率: 0.1326 | 批次時間: 0.477秒
  批次 90/990 | 損失: 3.3361 | 準確率: 0.1332 | 批次時間: 0.476秒
  批次 100/990 | 損失: 3.3324 | 準確率: 0.1355 | 批次時間: 0.486秒
  批次 110/990 | 損失: 3.3257 | 準確率: 0.1352 | 批次時間: 0.484秒
  批次 120/990 | 損失: 3.3276 | 準確率: 0.1349 | 批次時間: 0.662秒
  批次 130/990 | 損失: 3.3276 | 準確率: 0.1351 | 批次時間: 0.485秒
  批次 140/990 | 損失: 3.3210 | 準確率: 0.1378 | 批次時間: 0.487秒
  批次 150/990 | 損失: 3.3206 | 準確率: 0.1377 | 批次時間: 0.487秒
  批次 160/990 | 損失: 3.3221 | 準確率: 0.1381 | 批次時間: 0.472秒
  批次 170/990 | 損失: 3.3194 | 準確率: 0.1389 | 批次時間: 0.573秒
  批次 180/990 | 損失: 3.3150 | 準確率: 0.1409 | 批次時間: 0.478秒
  批次 190/990 | 損失: 3.3117 | 準確率: 0.1414 | 批次時間: 0.488秒
  批次 200/990 | 損失: 3.3109 | 準確率: 0.1423 | 批次時間: 0.485秒
  批次 210/990 | 損失: 3.3094 | 準確率: 0.1420 | 批次時間: 0.479秒
  批次 220/990 | 損失: 3.3087 | 準確率: 0.1420 | 批次時間: 0.601秒
